candidateId,x,y
3052,0.020,0.048
3053,0.043,0.008
3054,-0.191,-0.021
3059,0.310,-0.019
3063,0.226,-0.022
3064,0.413,-0.064
3077,0.079,0.035
3080,0.320,-0.033
3084,0.212,0.060
3086,0.408,-0.124
3089,-0.115,0.223
3090,0.075,-0.008
3094,0.038,0.013
3095,0.323,-0.023
3106,0.096,0.079
3113,0.295,-0.009
3115,-0.153,-0.017
3118,-0.053,-0.198
3124,0.182,-0.010
3126,-0.276,-0.089
3128,-0.267,0.012
3131,0.057,-0.051
3133,-0.297,-0.063
3134,0.074,0.113
3139,-0.004,0.080
3151,0.168,0.188
3158,0.012,0.108
3161,0.312,0.013
3188,0.277,0.002
3189,-0.117,0.156
3200,0.399,-0.020
3204,0.042,0.080
3205,-0.012,-0.064
3214,0.300,-0.035
3228,0.105,0.022
3235,-0.211,-0.098
3244,-0.048,0.196
3245,0.261,0.038
3248,0.139,0.148
3249,0.184,0.121
3255,0.184,0.023
3260,-0.336,0.059
3262,-0.258,-0.038
3263,0.087,0.010
3266,0.021,0.070
3273,0.286,0.015
3285,0.066,0.072
3293,0.151,0.228
3295,0.359,-0.038
3300,0.398,-0.079
3301,0.269,0.008
3308,-0.059,-0.032
3309,-0.073,-0.039
3310,0.217,0.021
3312,0.312,-0.105
3316,0.056,0.023
3326,-0.003,0.039
3330,0.249,0.044
3348,0.103,0.229
3349,-0.332,0.014
3363,-0.033,-0.188
3365,0.134,0.062
3367,0.140,0.211
3372,-0.249,-0.021
3373,-0.019,0.264
3375,0.030,0.053
3376,0.226,0.029
3382,0.004,0.036
3383,-0.108,-0.011
3389,-0.241,-0.026
3392,0.190,0.254
3398,0.028,0.006
3406,0.117,0.040
3418,0.274,-0.090
3424,0.206,0.059
3438,-0.251,-0.104
3440,0.110,0.072
3448,0.078,0.062
3450,0.231,0.091
3451,-0.021,0.000
3469,0.099,0.175
3474,0.161,0.012
3481,0.098,-0.008
3484,-0.159,-0.039
3485,-0.154,0.034
3493,0.168,0.226
3494,0.304,-0.102
3500,0.116,0.160
3503,0.113,0.037
3529,0.258,0.287
3532,0.049,0.090
3535,0.003,-0.017
3555,-0.244,-0.022
3561,0.044,-0.047
3565,0.404,-0.087
3572,0.279,-0.068
3574,0.077,-0.058
3581,-0.163,0.226
3585,0.060,0.236
3592,0.156,0.151
3593,0.165,0.002
3596,0.085,0.040
3603,0.223,0.191
3604,0.031,0.037
3608,0.309,0.133
3633,0.304,-0.257
3639,0.113,0.072
3645,0.145,0.218
3647,0.147,0.191
3648,0.391,-0.054
3649,-0.211,-0.111
3655,-0.032,0.266
3656,0.052,0.024
3660,0.352,-0.075
3665,0.123,0.190
3666,0.035,0.096
3675,0.193,0.025
3682,0.011,-0.054
3689,-0.059,-0.096
3694,0.070,0.161
3697,-0.191,-0.093
3701,0.039,0.080
3703,-0.026,-0.031
3706,0.168,0.197
3709,0.203,0.046
3719,0.168,0.215
3720,0.021,0.064
3728,-0.026,0.154
3729,0.054,0.028
3741,-0.083,-0.134
3749,0.119,0.099
3755,-0.113,-0.014
3758,0.300,-0.039
3760,0.070,-0.004
3761,0.022,0.026
3786,0.295,0.024
3796,0.054,-0.004
3798,0.063,0.067
3819,-0.040,0.001
3829,0.358,-0.119
3838,0.399,-0.109
3846,0.143,0.111
3847,0.397,-0.073
3856,-0.025,-0.051
3863,0.045,0.099
3883,0.066,-0.001
3885,-0.097,0.020
3897,-0.039,0.031
3898,-0.297,-0.018
3900,0.056,0.211
3908,0.082,0.002
3911,0.352,-0.075
3912,-0.248,-0.028
3932,0.286,0.063
3934,0.022,0.080
3951,0.061,-0.023
3953,0.392,-0.088
3958,-0.140,0.075
3961,0.102,0.164
3967,0.349,-0.054
3974,-0.308,-0.073
3975,0.258,-0.042
3982,-0.088,-0.006
3984,0.370,0.001
3998,-0.114,0.126
4000,0.108,0.052
4003,0.034,0.045
4012,-0.164,0.030
4025,0.010,-0.009
4029,-0.234,-0.032
4030,0.066,0.068
4033,0.041,0.043
4037,-0.235,-0.029
4038,0.004,-0.010
4049,0.263,-0.028
4062,0.057,0.126
4065,0.051,-0.014
4083,0.092,0.048
4097,-0.113,-0.002
4099,-0.162,0.044
4100,0.224,0.004
4119,-0.037,0.092
4120,0.056,0.129
4122,-0.213,-0.017
4127,0.065,0.112
4138,-0.213,-0.158
4139,0.241,0.309
4146,0.334,0.106
4149,-0.191,-0.138
4153,-0.102,-0.105
4156,-0.253,-0.007
4160,0.214,-0.047
4161,0.106,0.032
4164,0.158,0.239
4167,0.148,-0.102
4169,-0.203,0.057
4176,0.152,0.027
4179,0.365,-0.019
4183,0.383,-0.095
4184,0.205,0.139
4186,0.310,-0.036
4202,-0.067,0.119
4218,0.097,-0.003
4225,0.253,-0.218
4226,-0.029,0.059
4240,0.400,-0.067
4249,0.032,-0.019
4257,0.201,0.114
4299,0.082,0.063
4312,-0.127,0.172
4316,0.089,0.118
4319,-0.091,0.110
4321,0.188,-0.116
4322,0.105,0.067
4324,0.057,0.089
4325,0.071,0.131
4338,-0.011,0.112
4345,0.069,0.076
4359,-0.127,-0.087
4362,0.179,-0.140
4368,0.094,0.244
4371,0.210,-0.040
4396,0.210,0.028
4406,-0.127,-0.027
4412,0.147,0.197
4417,0.372,-0.029
4423,0.393,-0.079
4438,-0.310,-0.069
4442,0.059,-0.008
4444,0.304,0.011
4454,0.076,0.034
4455,0.073,0.100
4456,-0.079,0.329
4459,0.241,-0.043
4463,-0.033,-0.033
4470,0.237,-0.103
4475,-0.294,-0.046
4484,0.379,-0.066
4488,0.043,-0.067
4489,-0.003,0.018
4491,0.105,0.029
4500,0.282,-0.041
4504,0.291,0.014
4506,-0.114,0.304
4512,0.355,-0.117
4520,0.104,0.078
4535,-0.053,-0.097
4538,0.375,-0.104
4539,0.098,0.132
4543,0.347,-0.101
4547,0.184,0.067
4554,-0.163,0.020
4557,0.025,0.080
4571,0.044,0.021
4600,0.052,0.060
4611,0.095,0.142
4617,0.227,0.228
4622,0.056,0.075
4627,0.088,0.035
4628,-0.061,-0.215
4637,-0.318,-0.104
4639,0.191,-0.026
4640,0.093,0.147
4641,-0.107,0.133
4643,-0.178,-0.059
4649,0.052,0.062
4651,0.372,-0.048
4655,-0.038,0.013
4662,0.367,-0.136
4663,0.004,0.054
4665,-0.049,-0.053
4672,-0.022,0.010
4673,0.118,0.197
4679,0.275,-0.073
4689,0.025,0.051
4696,0.285,-0.025
4699,0.156,0.138
4701,0.011,-0.003
4702,0.225,0.054
4703,0.353,-0.133
4710,0.171,0.140
4723,-0.018,-0.028
4725,0.251,-0.018
4732,-0.028,-0.021
4747,0.079,0.064
4757,0.160,0.171
4761,0.241,0.235
4765,-0.178,0.006
4780,-0.145,0.192
4787,-0.105,-0.052
4794,-0.029,0.064
4796,0.033,0.011
4804,-0.140,0.059
4807,0.271,-0.036
4808,0.108,0.200
4809,0.319,-0.081
4814,0.096,-0.014
4822,-0.038,-0.069
4825,0.059,0.077
4826,-0.206,0.178
4829,0.341,-0.165
4838,-0.057,-0.111
4846,0.013,0.054
4858,0.350,-0.029
4861,-0.148,0.043
4866,0.144,-0.010
4877,-0.246,-0.030
4883,0.032,0.064
4884,0.035,0.050
4885,0.290,0.038
4890,0.113,0.163
4897,0.186,0.179
4900,0.063,0.017
4927,-0.271,-0.004
4929,0.148,0.042
4937,0.221,0.279
4942,0.090,0.138
4948,0.426,-0.027
4951,0.116,0.043
4952,0.001,-0.019
4953,0.058,0.208
4954,0.030,0.093
4963,0.342,-0.121
4964,-0.259,-0.029
4965,0.327,-0.087
