id,party,color
2510,group-0,#1f77b4
2514,group-1,#ff7f0e
2567,group-1,#ff7f0e
2577,group-0,#1f77b4
2579,group-1,#ff7f0e
2582,group-1,#ff7f0e
2607,group-0,#1f77b4
2620,group-1,#ff7f0e
2625,group-1,#ff7f0e
2634,group-1,#ff7f0e
2639,group-0,#1f77b4
2640,group-1,#ff7f0e
2650,group-1,#ff7f0e
2654,group-1,#ff7f0e
2663,group-1,#ff7f0e
2668,group-1,#ff7f0e
2694,group-0,#1f77b4
2701,group-1,#ff7f0e
2708,group-1,#ff7f0e
2733,group-1,#ff7f0e
2738,group-1,#ff7f0e
2745,group-1,#ff7f0e
2759,group-1,#ff7f0e
2770,group-1,#ff7f0e
2790,group-1,#ff7f0e
2810,group-1,#ff7f0e
2813,group-1,#ff7f0e
2820,group-1,#ff7f0e
2831,group-1,#ff7f0e
2834,group-1,#ff7f0e
2862,group-1,#ff7f0e
2868,group-1,#ff7f0e
2877,group-1,#ff7f0e
2951,group-1,#ff7f0e
2965,group-1,#ff7f0e
2996,group-1,#ff7f0e
3038,group-1,#ff7f0e
3044,group-1,#ff7f0e
3045,group-1,#ff7f0e
3048,group-1,#ff7f0e
3052,group-1,#ff7f0e
3057,group-1,#ff7f0e
3066,group-1,#ff7f0e
3081,group-1,#ff7f0e
3082,group-1,#ff7f0e
3084,ungrouped,#999999
3104,group-1,#ff7f0e
3113,group-1,#ff7f0e
3117,group-1,#ff7f0e
3120,group-1,#ff7f0e
3141,group-1,#ff7f0e
3184,group-1,#ff7f0e
3194,group-1,#ff7f0e
3196,group-1,#ff7f0e
3236,group-0,#1f77b4
3258,group-1,#ff7f0e
3261,group-1,#ff7f0e
3273,group-1,#ff7f0e
3310,group-1,#ff7f0e
3328,group-1,#ff7f0e
3354,group-1,#ff7f0e
3355,group-1,#ff7f0e
3359,group-1,#ff7f0e
3369,group-0,#1f77b4
3373,group-1,#ff7f0e
3377,group-0,#1f77b4
3415,group-0,#1f77b4
3428,group-0,#1f77b4
3447,group-1,#ff7f0e
3470,ungrouped,#999999
3481,group-1,#ff7f0e
3519,group-1,#ff7f0e
3526,group-1,#ff7f0e
3535,group-1,#ff7f0e
3536,group-1,#ff7f0e
3547,group-1,#ff7f0e
3566,group-0,#1f77b4
3581,group-0,#1f77b4
3604,group-0,#1f77b4
3609,group-0,#1f77b4
3636,group-0,#1f77b4
3669,group-0,#1f77b4
3671,group-1,#ff7f0e
3675,group-0,#1f77b4
3687,group-1,#ff7f0e
3691,group-1,#ff7f0e
3695,group-0,#1f77b4
3714,group-1,#ff7f0e
3726,group-0,#1f77b4
3738,group-0,#1f77b4
3744,group-0,#1f77b4
3749,group-0,#1f77b4
3760,group-1,#ff7f0e
3772,group-1,#ff7f0e
3776,group-0,#1f77b4
3782,group-0,#1f77b4
3784,group-1,#ff7f0e
3805,group-0,#1f77b4
3827,group-1,#ff7f0e
3830,group-1,#ff7f0e
3832,group-0,#1f77b4
3839,ungrouped,#999999
3853,group-0,#1f77b4
3865,group-0,#1f77b4
3877,group-0,#1f77b4
3886,group-1,#ff7f0e
3897,ungrouped,#999999
3931,group-0,#1f77b4
3937,group-0,#1f77b4
3946,group-0,#1f77b4
3949,group-1,#ff7f0e
3997,group-1,#ff7f0e
4050,group-1,#ff7f0e
4056,group-1,#ff7f0e
4075,group-1,#ff7f0e
4076,group-1,#ff7f0e
4114,group-0,#1f77b4
4115,group-1,#ff7f0e
4118,group-1,#ff7f0e
4134,group-0,#1f77b4
4144,group-1,#ff7f0e
4149,group-1,#ff7f0e
4171,group-1,#ff7f0e
4177,group-0,#1f77b4
4189,group-1,#ff7f0e
4200,ungrouped,#999999
4206,group-1,#ff7f0e
4207,group-1,#ff7f0e
4214,group-1,#ff7f0e
4227,ungrouped,#999999
4232,group-1,#ff7f0e
4279,group-0,#1f77b4
4299,group-0,#1f77b4
4318,group-1,#ff7f0e
4327,group-1,#ff7f0e
4338,group-0,#1f77b4
4341,group-0,#1f77b4
4352,group-1,#ff7f0e
4360,group-0,#1f77b4
4382,group-1,#ff7f0e
4389,group-0,#1f77b4
4396,group-0,#1f77b4
4400,group-0,#1f77b4
4405,group-1,#ff7f0e
4412,group-0,#1f77b4
4413,group-1,#ff7f0e
4421,group-0,#1f77b4
4427,group-1,#ff7f0e
4433,group-0,#1f77b4
4439,group-1,#ff7f0e
4445,group-1,#ff7f0e
4449,group-0,#1f77b4
4468,group-1,#ff7f0e
4486,ungrouped,#999999
4491,ungrouped,#999999
4502,group-0,#1f77b4
4519,group-1,#ff7f0e
4522,group-1,#ff7f0e
4533,group-1,#ff7f0e
4547,group-0,#1f77b4
4556,group-1,#ff7f0e
4558,group-0,#1f77b4
4571,group-0,#1f77b4
4574,ungrouped,#999999
4576,group-1,#ff7f0e
4592,ungrouped,#999999
4594,ungrouped,#999999
4611,group-1,#ff7f0e
4617,group-1,#ff7f0e
4627,group-1,#ff7f0e
4634,group-0,#1f77b4
4640,group-0,#1f77b4
4642,group-1,#ff7f0e
4649,ungrouped,#999999
4652,ungrouped,#999999
4657,ungrouped,#999999
4664,ungrouped,#999999
58,ungrouped,#999999
126,ungrouped,#999999
191,ungrouped,#999999
196,group-0,#1f77b4
276,group-1,#ff7f0e
457,group-0,#1f77b4
473,ungrouped,#999999
493,group-1,#ff7f0e
519,ungrouped,#999999
591,group-1,#ff7f0e
613,group-0,#1f77b4
621,group-1,#ff7f0e
661,group-1,#ff7f0e
662,ungrouped,#999999
673,ungrouped,#999999
695,group-0,#1f77b4
708,group-1,#ff7f0e
724,group-1,#ff7f0e
748,group-0,#1f77b4
762,group-1,#ff7f0e
769,group-1,#ff7f0e
811,group-1,#ff7f0e
902,group-1,#ff7f0e
950,group-1,#ff7f0e
963,group-1,#ff7f0e
1030,group-1,#ff7f0e
1076,group-1,#ff7f0e
1107,group-1,#ff7f0e
1183,group-1,#ff7f0e
1199,group-0,#1f77b4
1204,group-0,#1f77b4
1219,group-0,#1f77b4
1261,group-0,#1f77b4
1271,group-1,#ff7f0e
1304,group-1,#ff7f0e
1353,group-1,#ff7f0e
1359,group-1,#ff7f0e
1404,group-1,#ff7f0e
1476,group-1,#ff7f0e
1549,group-1,#ff7f0e
1668,group-1,#ff7f0e
1727,group-1,#ff7f0e
1749,group-1,#ff7f0e
1884,group-1,#ff7f0e
1890,group-1,#ff7f0e
1901,group-1,#ff7f0e
1937,group-1,#ff7f0e
1983,group-1,#ff7f0e
2000,group-1,#ff7f0e
2073,group-0,#1f77b4
2076,group-1,#ff7f0e
2083,group-1,#ff7f0e
2100,group-1,#ff7f0e
2122,group-1,#ff7f0e
2192,group-1,#ff7f0e
2224,group-0,#1f77b4
2360,group-1,#ff7f0e
2444,group-1,#ff7f0e
2474,group-1,#ff7f0e
2636,group-1,#ff7f0e
2728,group-1,#ff7f0e
2756,group-1,#ff7f0e
2812,group-1,#ff7f0e
2816,group-1,#ff7f0e
2917,group-1,#ff7f0e
3023,group-1,#ff7f0e
3076,group-1,#ff7f0e
3083,group-1,#ff7f0e
3090,group-1,#ff7f0e
3172,group-1,#ff7f0e
3228,group-1,#ff7f0e
3253,group-0,#1f77b4
3341,ungrouped,#999999
3382,group-1,#ff7f0e
3412,group-1,#ff7f0e
3462,group-1,#ff7f0e
3463,group-1,#ff7f0e
3577,group-1,#ff7f0e
3682,group-1,#ff7f0e
3696,group-0,#1f77b4
3728,group-1,#ff7f0e
3740,group-0,#1f77b4
3890,group-1,#ff7f0e
3908,ungrouped,#999999
3914,group-1,#ff7f0e
4081,group-1,#ff7f0e
4084,group-1,#ff7f0e
4095,group-1,#ff7f0e
4136,group-1,#ff7f0e
4140,group-0,#1f77b4
4143,group-1,#ff7f0e
4162,ungrouped,#999999
4173,ungrouped,#999999
4178,group-1,#ff7f0e
4179,group-0,#1f77b4
4182,group-0,#1f77b4
4194,group-0,#1f77b4
4201,group-1,#ff7f0e
4213,group-1,#ff7f0e
4222,group-1,#ff7f0e
4226,group-1,#ff7f0e
4233,group-1,#ff7f0e
4234,group-1,#ff7f0e
4266,group-0,#1f77b4
4274,group-1,#ff7f0e
4307,group-0,#1f77b4
4313,group-1,#ff7f0e
4331,group-1,#ff7f0e
4333,group-1,#ff7f0e
4342,group-1,#ff7f0e
4359,group-1,#ff7f0e
4371,group-0,#1f77b4
4403,group-1,#ff7f0e
4414,group-0,#1f77b4
4429,group-0,#1f77b4
4441,group-1,#ff7f0e
4448,group-1,#ff7f0e
4465,group-1,#ff7f0e
4477,group-0,#1f77b4
4490,group-0,#1f77b4
4493,group-1,#ff7f0e
4528,group-0,#1f77b4
4544,ungrouped,#999999
4548,ungrouped,#999999
4578,ungrouped,#999999
4591,ungrouped,#999999
4597,group-1,#ff7f0e
4609,group-1,#ff7f0e
4621,ungrouped,#999999
4622,group-1,#ff7f0e
4624,ungrouped,#999999
4632,group-1,#ff7f0e
4651,group-1,#ff7f0e
4655,group-1,#ff7f0e
84,group-1,#ff7f0e
141,ungrouped,#999999
212,ungrouped,#999999
224,group-0,#1f77b4
584,ungrouped,#999999
600,ungrouped,#999999
665,group-1,#ff7f0e
723,group-0,#1f77b4
736,group-1,#ff7f0e
828,group-0,#1f77b4
876,ungrouped,#999999
918,group-1,#ff7f0e
944,ungrouped,#999999
972,group-1,#ff7f0e
1062,ungrouped,#999999
1244,group-1,#ff7f0e
1256,group-0,#1f77b4
1264,ungrouped,#999999
1269,group-0,#1f77b4
1307,group-0,#1f77b4
