voter,party,color
428208,Sonstige,#888888
428607,GLP,#32CD32
432449,SVP,#4F7942
433002,SP,#FF0000
438855,SP,#FF0000
441155,SVP,#4F7942
444210,FDP,#0000FF
444435,SVP,#4F7942
446890,Grüne,#008000
447638,SVP,#4F7942
448754,SVP,#4F7942
451468,SVP,#4F7942
451888,SVP,#4F7942
452757,SVP,#4F7942
459253,Mitte,#C56C46
459553,SVP,#4F7942
462798,Mitte,#C56C46
464907,Grüne,#008000
469090,SP,#FF0000
470575,Mitte,#C56C46
470973,SVP,#4F7942
471014,SVP,#4F7942
471912,SVP,#4F7942
472579,SP,#FF0000
473116,SP,#FF0000
474016,FDP,#0000FF
474767,SVP,#4F7942
475588,Mitte,#C56C46
476368,SVP,#4F7942
479479,SVP,#4F7942
482126,EVP,#FFA500
485504,Sonstige,#888888
485518,SVP,#4F7942
485758,SVP,#4F7942
487555,GLP,#32CD32
488184,SP,#FF0000
490879,SP,#FF0000
492152,GLP,#32CD32
493646,FDP,#0000FF
500824,SVP,#4F7942
500881,FDP,#0000FF
503529,SVP,#4F7942
504973,SVP,#4F7942
509847,SP,#FF0000
510278,Grüne,#008000
511137,SVP,#4F7942
511745,SP,#FF0000
512030,Grüne,#008000
514957,FDP,#0000FF
516615,SP,#FF0000
518723,EDU,#00008B
518858,Grüne,#008000
519245,SP,#FF0000
519898,Grüne,#008000
520323,Mitte,#C56C46
521978,FDP,#0000FF
523086,SVP,#4F7942
523495,Sonstige,#888888
523897,SVP,#4F7942
524642,SVP,#4F7942
528092,Mitte,#C56C46
528515,SVP,#4F7942
531205,SP,#FF0000
531792,SVP,#4F7942
534906,SVP,#4F7942
535248,Grüne,#008000
537961,SVP,#4F7942
542422,Sonstige,#888888
543009,SVP,#4F7942
544143,SP,#FF0000
551734,Grüne,#008000
552146,FDP,#0000FF
553221,SVP,#4F7942
554658,SVP,#4F7942
555069,SP,#FF0000
555522,GLP,#32CD32
557547,SP,#FF0000
558139,SP,#FF0000
561729,SVP,#4F7942
563464,SP,#FF0000
566862,GLP,#32CD32
568661,SP,#FF0000
568770,GLP,#32CD32
573220,SP,#FF0000
576833,Grüne,#008000
577892,GLP,#32CD32
579403,SVP,#4F7942
581813,Sonstige,#888888
585869,Grüne,#008000
588988,GLP,#32CD32
589026,SVP,#4F7942
589170,SVP,#4F7942
592771,GLP,#32CD32
593146,EVP,#FFA500
594888,SVP,#4F7942
595424,FDP,#0000FF
596589,GLP,#32CD32
600177,GLP,#32CD32
601606,SVP,#4F7942
601746,EDU,#00008B
602055,GLP,#32CD32
609082,SVP,#4F7942
609531,FDP,#0000FF
610339,SVP,#4F7942
611006,Mitte,#C56C46
611607,GLP,#32CD32
613367,GLP,#32CD32
614499,Grüne,#008000
616728,SP,#FF0000
617538,FDP,#0000FF
617832,SVP,#4F7942
618257,SVP,#4F7942
619330,SP,#FF0000
619602,Mitte,#C56C46
619846,SVP,#4F7942
620387,FDP,#0000FF
620488,Mitte,#C56C46
621064,Mitte,#C56C46
625195,SVP,#4F7942
625495,SVP,#4F7942
625849,SP,#FF0000
625850,SVP,#4F7942
626283,FDP,#0000FF
626759,FDP,#0000FF
628564,SVP,#4F7942
629316,Grüne,#008000
630122,SVP,#4F7942
630665,Grüne,#008000
631288,Mitte,#C56C46
631893,SVP,#4F7942
632550,SVP,#4F7942
636652,GLP,#32CD32
636849,FDP,#0000FF
647196,Grüne,#008000
647497,Mitte,#C56C46
649268,SVP,#4F7942
652034,FDP,#0000FF
655145,Mitte,#C56C46
655999,SVP,#4F7942
657863,FDP,#0000FF
658498,Mitte,#C56C46
658981,SP,#FF0000
660691,SVP,#4F7942
662182,GLP,#32CD32
666407,Mitte,#C56C46
667301,GLP,#32CD32
668221,SP,#FF0000
670056,SVP,#4F7942
671042,SP,#FF0000
672348,SVP,#4F7942
673229,EVP,#FFA500
674934,SVP,#4F7942
675407,Sonstige,#888888
675940,SVP,#4F7942
679017,FDP,#0000FF
679629,Grüne,#008000
684338,GLP,#32CD32
689426,SP,#FF0000
689995,SVP,#4F7942
690932,SVP,#4F7942
691307,GLP,#32CD32
692073,SVP,#4F7942
692289,SVP,#4F7942
693548,SVP,#4F7942
695354,EDU,#00008B
697581,GLP,#32CD32
698059,Grüne,#008000
699810,SVP,#4F7942
701883,SVP,#4F7942
701973,SP,#FF0000
702190,Sonstige,#888888
702626,GLP,#32CD32
703034,FDP,#0000FF
703837,SVP,#4F7942
704183,SVP,#4F7942
704224,SVP,#4F7942
704325,SP,#FF0000
706365,GLP,#32CD32
706533,SP,#FF0000
706821,Grüne,#008000
708229,GLP,#32CD32
709068,FDP,#0000FF
710559,EVP,#FFA500
710994,SP,#FF0000
711016,SVP,#4F7942
714390,SP,#FF0000
718749,Grüne,#008000
720086,SP,#FF0000
720142,SP,#FF0000
726725,Grüne,#008000
730033,SVP,#4F7942
734497,FDP,#0000FF
734774,Grüne,#008000
735020,FDP,#0000FF
735145,SVP,#4F7942
738212,SP,#FF0000
738666,Sonstige,#888888
738793,SVP,#4F7942
739880,EVP,#FFA500
740844,EVP,#FFA500
741461,SP,#FF0000
742636,GLP,#32CD32
744166,SP,#FF0000
746681,SVP,#4F7942
749194,SVP,#4F7942
749265,FDP,#0000FF
750609,SP,#FF0000
757436,SP,#FF0000
758652,FDP,#0000FF
760556,GLP,#32CD32
761020,SP,#FF0000
761220,SVP,#4F7942
761349,Grüne,#008000
