respondentId,party,color
9474,AL,#d87539
9475,RO,#b06e48
9476,AL,#d87539
9477,CZ,#97854f
9478,PL,#867f57
9479,IT,#ce893f
9480,IT,#ce893f
9481,NL,#8c974b
9482,IT,#ce893f
9483,BG,#c66a3e
9484,BA,#c37c41
9485,FI,#2b8384
9486,FR,#b49f44
9487,GE,#c43d39
9488,GB,#7fa047
9489,CH,#b19246
9490,AT,#ae8648
9491,IS,#2ca02c
9492,NL,#8c974b
9493,AT,#ae8648
9494,PL,#867f57
9495,HR,#bc8144
9496,SK,#9d7d4f
9497,FI,#2b8384
9498,LT,#6e7a64
9499,SE,#3c8a6a
9500,HR,#bc8144
9501,ES,#eeb33e
9502,SK,#9d7d4f
9503,PL,#867f57
9504,CH,#b19246
9505,FI,#2b8384
9506,NL,#8c974b
9507,AM,#d1322e
9508,DE,#918e4e
9509,AT,#ae8648
9510,SE,#3c8a6a
9511,DE,#918e4e
9512,LT,#6e7a64
9513,GB,#7fa047
9514,ES,#eeb33e
9515,SI,#b58346
9516,BY,#7b7261
9517,EE,#507d73
9518,AM,#d1322e
9519,DE,#918e4e
9520,RO,#b06e48
9521,SI,#b58346
9522,CH,#b19246
9523,IS,#2ca02c
9524,NL,#8c974b
9525,CH,#b19246
9526,DK,#6b8e57
9527,DK,#6b8e57
9528,IS,#2ca02c
9529,DK,#6b8e57
9530,RU,#61667a
9531,IS,#2ca02c
9532,FR,#b49f44
9533,BY,#7b7261
9534,FR,#b49f44
9535,DK,#6b8e57
9536,GB,#7fa047
9537,BY,#7b7261
9538,BA,#c37c41
9539,CH,#b19246
9540,GE,#c43d39
9541,FR,#b49f44
9542,PL,#867f57
9543,IS,#2ca02c
9544,NO,#3d8e61
9545,IT,#ce893f
9546,PL,#867f57
9547,HU,#ac7c49
9548,IS,#2ca02c
9549,SK,#9d7d4f
9550,DE,#918e4e
9551,AT,#ae8648
9552,CH,#b19246
9553,NL,#8c974b
9554,IT,#ce893f
9555,RS,#c17541
9556,NL,#8c974b
9557,CH,#b19246
9558,NL,#8c974b
9559,IT,#ce893f
9560,SE,#3c8a6a
9561,GB,#7fa047
9562,AM,#d1322e
9563,CH,#b19246
9564,FR,#b49f44
9565,PL,#867f57
9566,IT,#ce893f
9567,NO,#3d8e61
9568,FI,#2b8384
9569,BA,#c37c41
9570,HR,#bc8144
9571,CH,#b19246
9572,CH,#b19246
9573,FI,#2b8384
9574,RS,#c17541
9575,GB,#7fa047
9576,BA,#c37c41
9577,GE,#c43d39
9578,NL,#8c974b
9579,FI,#2b8384
9580,AL,#d87539
9581,DK,#6b8e57
9582,HR,#bc8144
9583,AM,#d1322e
9584,FI,#2b8384
9585,DE,#918e4e
9586,RS,#c17541
9587,IS,#2ca02c
9588,GB,#7fa047
9589,AL,#d87539
9590,NL,#8c974b
9591,DK,#6b8e57
9592,FR,#b49f44
9593,ES,#eeb33e
9594,FR,#b49f44
9595,IT,#ce893f
9596,IS,#2ca02c
9597,GB,#7fa047
9598,DK,#6b8e57
9599,CH,#b19246
9600,AM,#d1322e
9601,BY,#7b7261
9602,CZ,#97854f
9603,ME,#d1783c
9604,EE,#507d73
9605,AT,#ae8648
9606,CZ,#97854f
9607,LT,#6e7a64
9608,AZ,#cf2a2d
9609,IT,#ce893f
9610,RU,#61667a
9611,SI,#b58346
9612,CH,#b19246
9613,CH,#b19246
9614,FI,#2b8384
9615,GB,#7fa047
9616,AT,#ae8648
9617,SK,#9d7d4f
9618,SK,#9d7d4f
9619,NO,#3d8e61
9620,IS,#2ca02c
9621,HR,#bc8144
9622,NO,#3d8e61
9623,SK,#9d7d4f
9624,IS,#2ca02c
9625,IT,#ce893f
9626,CH,#b19246
9627,GE,#c43d39
9628,MK,#d0733c
9629,NL,#8c974b
9630,CH,#b19246
9631,AM,#d1322e
9632,AM,#d1322e
9633,CZ,#97854f
9634,SI,#b58346
9635,IT,#ce893f
9636,DK,#6b8e57
9637,FR,#b49f44
9638,EE,#507d73
9639,ME,#d1783c
9640,DE,#918e4e
9641,MK,#d0733c
